Date,Open,High,Low,Close,Volume
2024-01-02,100.00,101.20,99.50,100.80,1200000
2024-01-03,100.80,103.40,100.60,103.10,1350000
2024-01-04,103.10,105.90,102.80,105.40,1420000
2024-01-05,105.40,106.20,103.10,103.60,1180000
2024-01-08,103.60,104.10,101.20,101.70,1090000
2024-01-09,101.70,104.80,101.50,104.50,1310000
2024-01-10,104.50,108.30,104.20,108.00,1670000
2024-01-11,108.00,111.60,107.80,111.20,1840000
2024-01-12,111.20,113.40,110.10,112.90,1720000
2024-01-15,112.90,114.20,111.30,111.80,1400000
2024-01-16,111.80,112.40,108.90,109.30,1280000
2024-01-17,109.30,110.10,107.60,108.20,1230000
2024-01-18,108.20,112.70,108.00,112.40,1560000
2024-01-19,112.40,115.90,112.10,115.60,1690000
2024-01-22,115.60,117.30,114.40,116.80,1580000
2024-01-23,116.80,117.10,113.20,113.70,1340000
2024-01-24,113.70,114.60,111.80,112.30,1260000
2024-01-25,112.30,113.10,110.40,110.90,1190000
2024-01-26,110.90,114.30,110.70,114.00,1470000
2024-01-29,114.00,118.20,113.80,117.90,1810000
