22-1-20 07:33:14
Fatal:	Access violation
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
21-2-20 08:31:41	Notification:	SetValue: Name = ?, Value = 0
30-4-20 15:22:20	Other       :	Current minimium = 0.0000181377631160827
30-4-20 15:22:20	Other       :	Current minimium = 0.0000177344743285339
30-4-20 15:22:20	Other       :	Current minimium = 0.0000163712235662366
30-4-20 15:22:21	Other       :	Current minimium = 0.0000159612061015644
30-4-20 15:22:21	Other       :	Current minimium = 0.0000135313370142653
30-4-20 15:22:21	Other       :	Current minimium = 0.0000132241679409775
30-4-20 15:22:21	Other       :	Current minimium = 0.0000111846241627795
30-4-20 15:22:21	Other       :	Current minimium = 0.0000111241243715817
30-4-20 15:22:21	Other       :	Current minimium = 0.0000104533143784522
30-4-20 15:22:21	Other       :	Current minimium = 0.0000104431898532666
30-4-20 15:22:21	Other       :	Current minimium = 9.48501717248913E-6
30-4-20 15:22:21	Other       :	Current minimium = 9.43178609179512E-6
30-4-20 15:22:22	Other       :	Current minimium = 9.43050992717006E-6
30-4-20 15:22:22	Other       :	Current minimium = 8.87395529000828E-6
30-4-20 15:22:22	Other       :	Current minimium = 8.82997013762873E-6
30-4-20 15:22:22	Other       :	Current minimium = 8.02465775264746E-6
30-4-20 15:22:22	Other       :	Current minimium = 8.02147193194672E-6
30-4-20 15:22:22	Other       :	Current minimium = 7.39143121930843E-6
30-4-20 15:22:22	Other       :	Current minimium = 7.38830568596892E-6
30-4-20 15:22:22	Other       :	Current minimium = 6.79634531698328E-6
30-4-20 15:22:22	Other       :	Current minimium = 6.78660815736572E-6
30-4-20 15:22:22	Other       :	Current minimium = 6.12696732885594E-6
30-4-20 15:22:22	Other       :	Current minimium = 6.08704653188851E-6
30-4-20 15:22:22	Other       :	Current minimium = 5.45139726713129E-6
30-4-20 15:22:22	Other       :	Current minimium = 5.31208276843727E-6
30-4-20 15:22:23	Other       :	Current minimium = 5.28760162895314E-6
30-4-20 15:22:23	Other       :	Current minimium = 4.57672158790913E-6
30-4-20 15:22:23	Other       :	Current minimium = 4.56881136114105E-6
30-4-20 15:22:23	Other       :	Current minimium = 3.84166677794924E-6
30-4-20 15:22:23	Other       :	Current minimium = 3.82877751150233E-6
30-4-20 15:22:23	Other       :	Current minimium = 3.23724728156643E-6
30-4-20 15:22:23	Other       :	Current minimium = 3.22514041317005E-6
30-4-20 15:22:23	Other       :	Current minimium = 2.64962586757101E-6
30-4-20 15:22:23	Other       :	Current minimium = 2.62987025326673E-6
30-4-20 15:22:23	Other       :	Current minimium = 2.19280744840417E-6
30-4-20 15:22:23	Other       :	Current minimium = 2.17873202655229E-6
30-4-20 15:22:23	Other       :	Current minimium = 1.69639353354756E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.69582684569098E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.37240033962902E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.34725732278631E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.1563744366956E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.15502644880436E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.14455572902369E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.14275994142985E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.1279523363659E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.10506514416174E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.08362287932621E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.04869925874593E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.04343192860461E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.03332950358381E-6
30-4-20 15:22:24	Other       :	Current minimium = 1.02227046397126E-6
30-4-20 15:22:24	Other       :	Current minimium = 9.64362640405818E-7
30-4-20 15:22:24	Other       :	Current minimium = 9.54042289855724E-7
30-4-20 15:22:24	Other       :	Current minimium = 9.37212065978455E-7
30-4-20 15:22:24	Other       :	Current minimium = 9.0984119974539E-7
30-4-20 15:22:25	Other       :	Current minimium = 9.07777856736206E-7
30-4-20 15:22:25	Other       :	Current minimium = 8.92599612962502E-7
30-4-20 15:22:25	Other       :	Current minimium = 8.77925816102846E-7
30-4-20 15:22:25	Other       :	Current minimium = 8.29054020520192E-7
30-4-20 15:22:25	Other       :	Current minimium = 8.06011164112829E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.77145830405248E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.66442132279487E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.37327460334745E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.37309058267535E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.35366322785317E-7
30-4-20 15:22:25	Other       :	Current minimium = 7.19437885704747E-7
30-4-20 15:22:26	Other       :	Current minimium = 7.10372006063455E-7
30-4-20 15:22:26	Other       :	Current minimium = 7.06934480775708E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.84871144422651E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.81511067016126E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.67425630254085E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.54752789743461E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.12687282162288E-7
30-4-20 15:22:26	Other       :	Current minimium = 6.08619949212715E-7
30-4-20 15:22:26	Other       :	Current minimium = 5.99545581385689E-7
30-4-20 15:22:26	Other       :	Current minimium = 5.84098206282876E-7
30-4-20 15:22:26	Other       :	Current minimium = 5.58406485006266E-7
30-4-20 15:22:26	Other       :	Current minimium = 5.4684592829017E-7
30-4-20 15:22:26	Other       :	Current minimium = 5.3071994812315E-7
30-4-20 15:22:27	Other       :	Current minimium = 5.24725144844068E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.8012852337197E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.75429181489545E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.74992784182269E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.69765438758824E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.54069155491467E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.53787882628487E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.47604765044192E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.38209549286946E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.24574623751153E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.20834047732735E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.02464765403961E-7
30-4-20 15:22:27	Other       :	Current minimium = 4.000813208918E-7
30-4-20 15:22:27	Other       :	Current minimium = 3.69107451310896E-7
30-4-20 15:22:27	Other       :	Current minimium = 3.62349523791506E-7
30-4-20 15:22:27	Other       :	Current minimium = 3.59694920399611E-7
30-4-20 15:22:27	Other       :	Current minimium = 3.556620487375E-7
30-4-20 15:22:27	Other       :	Current minimium = 3.38531443599601E-7
30-4-20 15:22:28	Other       :	Current minimium = 3.37784526366159E-7
30-4-20 15:22:28	Other       :	Current minimium = 3.30832546453369E-7
30-4-20 15:22:28	Other       :	Current minimium = 3.28941871060474E-7
30-4-20 15:22:28	Other       :	Current minimium = 3.2784262390984E-7
30-4-20 15:22:28	Other       :	Current minimium = 3.12034823681831E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.80921534169712E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.80000774658927E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.62832176852236E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.60189923802277E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.55038212954097E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.50133960588638E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.36768036919964E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.34640077981083E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.30370026980574E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.30027071112231E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.27149194095065E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.23759471415865E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.18509898086136E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.15536054721699E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.14851716197132E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.10652928526934E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.09300637046136E-7
30-4-20 15:22:28	Other       :	Current minimium = 2.02275590027011E-7
30-4-20 15:22:28	Other       :	Current minimium = 1.86633108332163E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.84915285334064E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.84154819360024E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.73473133116844E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.69204914599641E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.6913910815214E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.5785682845757E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.57699835524856E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.53027469149926E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.51655843940405E-7
30-4-20 15:22:29	Other       :	Current minimium = 1.5123775384275E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.51103204666368E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.50153506579319E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.49640823095627E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.49075873802495E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.47223953149447E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.45082548824094E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.43089006088729E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.4166403193905E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.41548838782052E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.39072038121002E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.38386077011602E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.37241037974078E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.37115537969643E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.35514449531997E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.31516686369978E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.28946758718101E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.27811120030571E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.26938303304649E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.26457930483271E-7
30-4-20 15:22:30	Other       :	Current minimium = 1.26286260294507E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.26210446451609E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.22260835477419E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.20318162417616E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.19821152458637E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.18559804700925E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.18414482905631E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.18182483312458E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.17840968472761E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.15918928582395E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.13172745363053E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.12045246329289E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.11892320336255E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.11875097081105E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.11092638260147E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.10794323318393E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.10476835178199E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.09486850273697E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.09403373558053E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.08338667841494E-7
30-4-20 15:22:31	Other       :	Current minimium = 1.08312725475792E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.08193042261219E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.06889501711585E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.06347670831978E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.05546740084522E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.04908352374461E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.04841598945503E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.04320304870594E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.03969013515505E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.03901465831449E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.0371021248367E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.03383735226338E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.02750815041046E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.02618961367844E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.02617549188985E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.02412952896119E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.01945736695456E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.01709478586681E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.01234117361219E-7
30-4-20 15:22:32	Other       :	Current minimium = 1.00633806981783E-7
30-4-20 15:22:33	Other       :	Current minimium = 1.00346123129557E-7
30-4-20 15:22:33	Other       :	Current minimium = 1.0024037245356E-7
30-4-20 15:22:33	Other       :	Current minimium = 9.96078139226472E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.959265334117E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.95719331131293E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.90552602314335E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.85221683132168E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.83906317986888E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.82462486536089E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.80285531513819E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.78697559751622E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.77668762061627E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.76153302121878E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.73737115060471E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.72073229218234E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.71956369000079E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.71225591007353E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.70540976933455E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.68595110520007E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.68222996816732E-8
30-4-20 15:22:33	Other       :	Current minimium = 9.62774922099808E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.60963747951567E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.57766428030261E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.55272821746765E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.5196572458759E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.49685949399892E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.49269440624409E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.47858722039983E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.4758878871587E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.47194381348941E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.46998696414378E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.44957136521564E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.43206215826247E-8
30-4-20 15:22:34	Other       :	Current minimium = 9.41361227120148E-8
